# of Solutions,avg. Solution Length,Time (micro-seconds),Median Solution Length, Median Set Value,Sum of Set,Target Value,SpecificSolutionLength,SpecificSolutionMedian,Occurence
0,0.0000,1145,0,446,0,0,0,0,
0,0.0000,296,0,352,0,0,13,278,
0,0.0000,89,0,301,0,0,13,270,
0,0.0000,1075,0,328,0,0,0,0,
0,0.0000,11,0,569,0,0,13,414,
0,0.0000,289,0,358,0,0,13,343,
0,0.0000,3373,0,663,0,0,0,0,
0,0.0000,107,0,360,0,0,14,123,
0,0.0000,106,0,583,0,0,14,266,
0,0.0000,1109,0,679,0,0,14,679,
0,0.0000,22,0,548,0,0,14,364,
0,0.0000,1846,0,426,0,0,0,0,
0,0.0000,39,0,656,0,0,15,656,
0,0.0000,378,0,488,0,0,15,409,
0,0.0000,652,0,482,0,0,15,170,
0,0.0000,151,0,585,0,0,15,632,
0,0.0000,197,0,365,0,0,15,209,
0,0.0000,37,0,481,0,0,15,223,
0,0.0000,1599,0,473,0,0,16,251,
0,0.0000,130,0,405,0,0,16,405,
0,0.0000,252,0,573,0,0,16,594,
0,0.0000,350,0,268,0,0,16,232,
0,0.0000,325,0,658,0,0,16,442,
0,0.0000,8849,0,567,0,0,0,0,
0,0.0000,1148,0,164,0,0,17,284,
0,0.0000,2244,0,706,0,0,17,558,
0,0.0000,600,0,408,0,0,17,521,
0,0.0000,374,0,568,0,0,17,273,
0,0.0000,723,0,414,0,0,17,211,
0,0.0000,841,0,478,0,0,17,195,
0,0.0000,117,0,549,0,0,18,338,
0,0.0000,17919,0,664,0,0,18,892,
0,0.0000,1859,0,301,0,0,18,301,
0,0.0000,1629,0,378,0,0,18,344,
0,0.0000,1271,0,554,0,0,18,688,
0,0.0000,485,0,663,0,0,18,81,
0,0.0000,171,0,510,0,0,19,408,
0,0.0000,83,0,436,0,0,19,302,
0,0.0000,735,0,357,0,0,19,264,
0,0.0000,1779,0,473,0,0,19,278,
0,0.0000,166,0,444,0,0,19,430,
0,0.0000,342,0,311,0,0,19,294,
0,0.0000,2717,0,566,0,0,20,522,
0,0.0000,1139,0,635,0,0,20,354,
0,0.0000,140,0,568,0,0,20,395,
0,0.0000,839,0,498,0,0,20,270,
0,0.0000,435,0,567,0,0,20,219,
0,0.0000,5768,0,688,0,0,20,522,
0,0.0000,104,0,556,0,0,21,432,
0,0.0000,235,0,488,0,0,21,206,
0,0.0000,418,0,388,0,0,21,325,
0,0.0000,38,0,893,0,0,0,0,
0,0.0000,20,0,353,0,0,0,0,
0,0.0000,32,0,375,0,0,0,0,
0,0.0000,30,0,372,0,0,0,0,
0,0.0000,35,0,144,0,0,0,0,
0,0.0000,29,0,500,0,0,0,0,
0,0.0000,34,0,555,0,0,0,0,
0,0.0000,22,0,694,0,0,0,0,
0,0.0000,21,0,678,0,0,0,0,
0,0.0000,39,0,845,0,0,0,0,
0,0.0000,22,0,645,0,0,0,0,
0,0.0000,25,0,365,0,0,0,0,
0,0.0000,24,0,488,0,0,0,0,
0,0.0000,41,0,236,0,0,0,0,
0,0.0000,26,0,332,0,0,0,0,
0,0.0000,41,0,686,0,0,0,0,
0,0.0000,5,0,512,0,0,7,458,
0,0.0000,41,0,422,0,0,0,0,
0,0.0000,26,0,369,0,0,0,0,
0,0.0000,73,0,500,0,0,0,0,
0,0.0000,70,0,274,0,0,0,0,
0,0.0000,60,0,620,0,0,0,0,
0,0.0000,84,0,413,0,0,0,0,
0,0.0000,53,0,598,0,0,0,0,
0,0.0000,51,0,468,0,0,0,0,
0,0.0000,76,0,195,0,0,0,0,
0,0.0000,95,0,348,0,0,0,0,
0,0.0000,80,0,435,0,0,0,0,
0,0.0000,61,0,394,0,0,0,0,
0,0.0000,62,0,286,0,0,0,0,
0,0.0000,90,0,528,0,0,0,0,
0,0.0000,43,0,304,0,0,10,304,
0,0.0000,145,0,728,0,0,0,0,
0,0.0000,128,0,733,0,0,0,0,
0,0.0000,169,0,577,0,0,0,0,
0,0.0000,144,0,409,0,0,0,0,
0,0.0000,40,0,542,0,0,10,278,
0,0.0000,276,0,407,0,0,0,0,
0,0.0000,242,0,341,0,0,0,0,
0,0.0000,259,0,509,0,0,0,0,
0,0.0000,9,0,513,0,0,11,472,
